quote	name	sector
ABBL	Annapurna Bikash Bank Limited	development bank
ACE	Ace Finance Company Limited	finance
ACEDBL	ACE Development Bank Limited	development bank
ADBL	Agriculture Development Bank Limited	commercial bank
AEFL	Alpic Everest Finance Company Limited	finance
AFC	Annapurna Finance Company Limited	finance
AFL	Api Finance Limited	finance
AHPC	Arun Valley Hydropower Development Company Limited	hydropower
AIC	Alliance Insurance Company Limited	insurance
AKJCL	Aankhu Khola Jalvidhyut Company Limited	hydropower
AKPL	Arun Kabeli Power Limited	hydropower
ALBSL	Asha Laghubitta Bittiya Sanstha Limited	hydropower
ALDBL	Alpine Development Bank Limited	development bank
ALICL	Asian Life Insurance Company Limited	life insurance
ALL	Ace Laboraries (Nepal) Limited	manufacturing and processing
AMFI	Arambha Microfinance Bittiya Sanstha Limited	micro finance
APEX	Apex Development Bank Limited	development bank
API	Api Power Company Limited	hydropower
ARDBL	Araniko Development Bank Limited	development bank
ARUN	Arun Finance Limited	finance
AVU	Arun Vanaspati Udhyog Limited	manufacturing and processing
AXIS	Axis Development Bank Limited	development bank
BAFL	Baibhava Finance Limited	finance
BARUN	Barun Hydropower Company Limited	hydropower
BBBL	Bhrikuti Bikash Bank Limited	development bank
BBBLN	Bageshwori Development Bank Limited	development bank
BBC	Bishal Bazar Company Limited	trading
BDBL	Business Development Bank Limited	development bank
BDFI	Business Development Financial Institution	development bank
BFC	Best Finance Company Limited	finance
BFCL	Bhaktapur Finance Company Limited	finance
BFIL	Bhajuratna Finance & Saving Company Limited	finance
BFL	Butwal Finance Limited	finance
BGDBL	Bagmati Development Bank Limited	development bank
BHBL	Bhargav Bikash Bank Limited	development bank
BJFL	Birgunj Finance Company Limited	finance
BJM	Biratnagar Jute Mills Limited	manufacturing and processing
BLDBL	Biratlaxmi Bikas Bank Limited	development bank
BLT	The Leatherage Bansbari Tannery and Shoe Factory Limited	manufacturing and processing
BNL	Bottlers Nepal (Balaju) Limited	manufacturing and processing
BNT	Bottlers Nepal (Terai) Limited	manufacturing and processing
BOAN	Bank of Asia Nepal Limited	commercial bank
BOK	Bank of Kathmandu Limited	commercial bank
BOKL	Bank of Kathmandu Limited	commercial bank
BPCL	Butwal Power Company Limited	hydropower
BRTBL	Bright Development Bank Limited	development bank
BSBL	Bishwa Bikas Bank Limited	development bank
BSL	Birat Shoe Company Limited	manufacturing and processing
BSM	Butwal Spinning Mills Limited	manufacturing and processing
BUDBL	Business Universal Development Bank Limited	development bank
CBBL	Chhimek Laghubitta Bikas Bittiya Sanstha	micro finance
CBL	Civil Bank Limited	commercial bank
CCBL	Century Commercial Bank Limited	commercial bank
CDBL	City Development Bank Limited	development bank
CEDB	CEDB Hydro Fund Limited	hydropower
CEDBL	Clean Energy Development Bank Limited	development bank
